key,value
meta_date_time,2024-09-26 11:44:23
meta_user,ekho.fo
meta_server,minerva.comdinheiro.com.br
meta_feature,ExtratoCarteira021
meta_execution_time,6.517
meta_encode,utf8
meta_JSON_UNESCAPED_UNICODE,True
meta_JSON_PRETTY_PRINT,True
meta_JSON_UNESCAPED_SLASHES,True
meta_variables_get,"{'ep': '1', 'nome_portfolio': '1001', 'data_ini': '29072024', 'data_fim': '19092024', 'data_ini2': 'mes_atual', 'data_ini3': 'ano_atual', 'layout': '2', 'classe': 'TIPO', 'classe2': 'IF', 'cot_tir': 'cot', 'cot_tir_ativo': 'tir', 'benchmarks': 'CDI IBOV', 'on_off': 'on', 'colunas_adicionais': '', 'alias_colunas_adicionais': '', 'ret_classe': '0', 'mes': 'CDI percent_CDI|0|V|', 'aloc': 'pesod|b|anel|l|4|icl|0|0|2', 'ordem_grandeza_grafico_rendimento': '1000', 'aloc_per_tipo': 'barra', 'aloc_per_exibir': 'vsb', 'aloc_per_ordem_grandeza': '1000', 'aloc_per_periodo': 'mes', 'aloc_per_valores': '12', 'ret': 'mes_atual ano_atual 12m 24m periodo', 'movext': '1|1||1', 'liq': '0 2 6 31|corridos|ambos|0|1|pos_liq per_pos_liq|tabela|0', 'liq_exibe': '1', 'infoAdd_primeiro_mes': '0', 'infoAdd_bench_IS': 'CDI', 'infoAdd_bench': 'CDI', 'ret2': 'cor ativo mes_atual ano_atual 03m 06m 12m 24m 36m periodo data_aplicacao', 'filtro_tipo_ativo': 'todos', 'filtro_CV': 'todos', 'linha_cart': '0', 'ret_nulos': '1', 'ret_bench_ativo': '', 'ord_ativo': 'alfc', 'ord_classe': 'alfc', 'mov_ext': '1', 'exibicao': 'default', 'num_casas': '2', 'valores': '1', 'graf_linha': '1|1||', 'ret3': 'ativo mes_atual ano_atual 12m 24m', 'aloc_ordem2': 'pesod', 'aloc_saldo2': 'SB', 'aloc_limit2': '', 'bench4': 'CDI', 'classe3': 'IF', 'aloc_ordem3': 'pesod', 'aloc_saldo3': 'SB', 'aloc_limit3': '', 'fall_ordem': '1', 'fall_ordem_grand': '1000', 'fall_cor': 'd3d3d3t', 'exibir_commit': '1', 'cart_explodida': '', 'estilo_pdf': 'azul0001', 'num_pdf': '2', 'flag_export': 'json3', 'ip_cliente': '177.92.116.106'}"
tab0_lin0_col0,
tab0_lin0_col1,Mês
tab0_lin0_col2,Ano
tab0_lin0_col3,12meses
tab0_lin0_col4,24meses
tab0_lin0_col5,Noperíodo
tab0_lin1_col0,Rend. Nominal (R$)
tab0_lin1_col1,"686002,1932000000"
tab0_lin1_col2,"6289022,0027822200"
tab0_lin1_col3,"8405904,3416081773"
tab0_lin1_col4,"11164591,3512081773"
tab0_lin1_col5,"2483124,2749300006"
tab0_lin2_col0,Var. Nominal (%)
tab0_lin2_col1,"0,74276353269"
tab0_lin2_col2,"7,44036948483"
tab0_lin2_col3,"12,9525280786"
tab0_lin2_col4,"21,3900692966"
tab0_lin2_col5,"2,9615142515"
tab0_lin3_col0,CDI (%)
tab0_lin3_col1,"0,552088142952"
tab0_lin3_col2,"7,68329873863"
tab0_lin3_col3,"11,1024944715"
tab0_lin3_col4,"26,1288022758"
tab0_lin3_col5,"1,50315245827"
tab0_lin4_col0,IBOV (%)
tab0_lin4_col1,"-2,11905532158"
tab0_lin4_col2,"-0,792189886488"
tab0_lin4_col3,"12,1546821694"
tab0_lin4_col4,"18,3138398096"
tab0_lin4_col5,"4,8592786313"
tab1_lin0_col0,Tempo de Resgate (DC)
tab1_lin0_col1,Valor Líquido
tab1_lin0_col2,%
tab1_lin1_col0,D0 a D1 (R$)
tab1_lin1_col1,"24684913,3544"
tab1_lin1_col2,"26,1596194897"
tab1_lin2_col0,D2 a D5 (R$)
tab1_lin2_col1,"5204833,128"
tab1_lin2_col2,"5,5157760605"
tab1_lin3_col0,D6 a D30 (R$)
