 ;Ativo;Saldo Bruto 30/08/24;Movimentação;Rendimento Bruto;Saldo Bruto 19/09/24;%;Provisão de IR+IOF;Saldo Líquido 19/09/24;Liquidez
    ;Alternativos;8447962,81409;50170,91;-32688,398113;8461626,26598;8,9142473838;125332,295165;8336293,97081;
    ;HFOF11;420702,8;0;-3455,3400000000;413428,4;0,4355431116;0;413428,4;D+2
    ;Jive Distressed & Special Sits Iv Institutional FIC Fim Cp I ;1861333,54693;0;9206,4163800000;1870539,96331;1,9705970757;8968,65707;1861571,30624;(vide regulamento)
    ;Jive Distressed & Special Sits Iv Institutional FIC Firf Ref ;394429,961744;0;2139,8828280000;396569,844572;0,4177827746;851,889985;395717,954587;D+0
    ;Lumina Feeder Brasil II FI Financeiro ;0;50170,91;-98,9960331000;50071,9139669;0,0527503123;0;50071,9139669;Data de encerramento do Fundo+5
    ;Perfin Space X FI Em  Participações Em Infraestrutura _unica;258909,531648;0;-190,5347350000;258718,996913;0,2725581429;33060,82446;225658,172453;
    ;Perfin Voyager FI Em Participações Em Infraestrutura _unica;1022526,71886;0;260,6353500000;1022787,35421;1,0774973049;78741,163537;944046,190673;
    ;PFIN11;513551;0;-1156,3400000000;512394,66;0,5398031789;0;512394,66;D+2
    ;PICE11;250343,6;0;-17331,4800000000;233012,12;0,2454761786;0;233012,12;D+2
    ;PPEI11;550944;0;-8608,5000000000;542335,5;0,5713455854;0;542335,5;D+2
    ;VIGT11;415619,6;0;-21611,7000000000;394007,9;0,4150837890;0;394007,9;D+2
    ;We Iliquidos II FI MM Créd Priv IE ;856700,719977;0;1918,0919910000;858618,811968;0,9045472180;1000,711795;857618,100173;Data de encerramento do Fundo+5
    ;We Ilíquidos I FI MM Créd Priv IE ;1049287,34044;0;1994,4563200000;1051281,79676;1,1075159446;1089,48401;1050192,31275;Data de encerramento do Fundo+5
    ;We Ilíquidos IIi FI MM Créd Priv IE ;853613,913992;0;4245,0099950000;857858,923987;0,9037466828;1619,564098;856239,359889;Data de encerramento do Fundo+5
    ;We Rfw FI MM Créd Priv IE ;0,080500069;0;-0,0002089295;0,0802911395;0,0000000845;0,0002097766125;0,0800813628875;D+1
    ;Fundos de Multimercado;30003956,4108;0;544743,594446;30548700,0053;32,1827814841;245051,066335;30303648,939;
    ;Absolute Hidra Ipca FI Em Cotas de FI MM Créd Priv ;3596602,16426;0;21493,0000100000;3618095,16427;3,8116308072;2714,27464;3615380,88963;D+31
    ;Acs Absolute Vertex Prev FI MM ;4421819,29183;0;18463,7395900000;4440283,03142;4,6777983516;90374,8655;4349908,16592;D+22
    ;Acs Absolute Vertex Prev FI MM ;499,642394062;0;2,0863057580;501,72869982;0,0005285666;175,605044937;326,123654883;D+22
    ;Ekho ALPha Optimal Vol FI Em Cotas de FI Financeiro MM Créd  ;7765861,99154;0;236526,7514800000;8002388,74302;8,4304447726;39845,45595;7962543,28707;D+61
    ;Kapitalo Zeta Merídia FICFIs MM ;5919462,31992;0;139175,4498900000;6058637,76981;6,3827205545;73331,10326;5985306,66655;D+62
    ;Real Investor FICFI MM ;4475310,66429;0;41090,4138100000;4516401,0781;4,7579880311;13441,97739;4502959,10071;D+30
    ;Spx Raptor Ekho Fo FICFI MM Créd Priv Ie ;3824400,33665;0;87992,1533600000;3912392,49001;4,1216704005;25167,78455;3887224,70546;D+181
    ;Renda Fixa Inflação;5886115,4562;0;6687,20527;5892802,66147;6,208014755;0;5892802,66147;
    ;BTG Pactual Tesouro Ipca Curto FI RF Ref ;1893664,61417;0;5260,0035600000;1898924,61773;2,0005000545;0;1898924,61773;D+1
    ;CCROB6 IPCA + 6,4370 - 15/01/2036;1130827,67357;0;-14868,1156800000;1115959,55789;1,1756533859;0;1115959,55789;D+1
    ;CRI REDE DOR IPCA + 6,25% Venc: 15/12/2036;1033205,72989;0;3033,4838300000;1036239,21372;1,0916687183;0;1036239,21372;D+1
    ;Jgp Debêntures Incentivadas Juros Reais Conservador FI Em Co;1828417,43857;0;13261,8335600000;1841679,27213;1,9401925963;0;1841679,27213;D+31
    ;Renda Fixa Pós Fixado;34878389,0049;-3846,2;233102,757926;35107645,5608;36,9855897402;611106,346184;34496539,2146;
    ;Absolute Hidra Cdi FI Em Cotas de Fundos Incentivados de Inv;2451345,85114;0;22264,2926500000;2473610,14379;2,6059261023;0;2473610,14379;D+31
    ;BTG Pactual Digital Tesouro Selic Simples FI RF ;3500,15281982;-3515,31;15,1586880782;0,00150789811928;0,0000000015;0,0274963427664;-0,0259884446471;D+0
    ;BTG Pactual Tesouro Selic FI RF Ref DI ;733238,807633;0;4030,4453050000;737269,252938;0,7767065458;1564,423909;735704,829029;D+0
    ;CDB BANCO ITAU 100% do CDI Venc 14/02/2029;78204,824687;0;431,0536915000;78635,8783785;0,0828421926;825,7710247;77810,1073538;D+0
    ;CDB BANCO ITAU 100% do CDI Vencto 03/07/2029;706627,239983;0;3894,8272090000;710522,067192;0,7485286255;2367,465118;708154,602074;D+0
    ;CDB BANCO ITAU 100% do CDI Vencto 04/07/2029;303073,538196;0;1670,4975370000;304744,035733;0,3210451085;988,881855;303755,153878;D+0
    ;CDB BANCO ITAU 100% do CDI Vencto 06/06/2029;203405,220977;0;1121,1401810000;204526,361158;0,2154666872;1018,431261;203507,929897;D+0
    ;CDB BANCO ITAU 100% do CDI Vencto 10/07/2029;151123,159387;0;832,9690120000;151956,128399;0,1600844184;440,12889;151515,999509;D+0
    ;CDB BANCO ITAU 100% do CDI Vencto 12/06/2029;305059,588279;0;1681,4443600000;306741,032639;0,3231489269;1421,330643;305319,701996;D+0
    ;LCA BANCO DO BRASIL 97,5% do CDI Vencto 30/07/2027 (0004085);12072915,862;0;64876,4206000000;12137792,2826;12,7870553138;0;12137792,2826;D+0
    ;LCA ITAU UNIBANCO SA 100% CDI Vencto 1/4/2025;3914630,08169;0;21576,8752300000;3936206,95692;4,1467587278;0;3936206,95692;D+0
    ;LCI BANCO ITAU 94% do CDI Venc 23/03/2026;1668603,38794;0;8643,9499700000;1677247,33791;1,7669650283;0;1677247,33791;D+0
    ;Trend DI FICFI RF Simples ;0;-0,56;0,5578067100;0;0,0000000000;0;0;D+0
    ;Trend Inb FICFI RF Simples ;1381,18846544;-330,33;7,0323250800;1057,88657904;0,0011144740;0,85739713;1057,02918191;D+0
    ;Valora Horizon High Yield FICFI MM Créd Priv ;3600288,40213;0;28458,3729700000;3628746,7751;3,8228521837;14550,46431;3614196,31079;D+181
    ;We Crédito I FI MM IE Créd Priv ;7607015,79962;0;65079,4003900000;7672095,20001;8,0824834872;584897,93578;7087197,26423;Data de encerramento do Fundo+5
    ;We Crédito II FI MM IE Créd Priv ;1077975,9;0;8518,3200000000;1086494,22;1,1446119167;3030,6285;1083463,5915;Data de encerramento do Fundo+5
    ;Renda Variável;14977515,5392;0;-65792,36127;14911723,178;15,7093666343;95852,39608;14815870,7819;
    ;Absolute Pace Long Biased FICFIA ;3228739,88106;0;12560,8557000000;3241300,73676;3,4146812570;29367,35351;3211933,38325;D+32
